,trialId,foodDist,ProbabilityOfReturningToNest,RateOfInformedSearchDecay,RateOfSiteFidelity,RateOfLayingPheromone,fitnessScore,fitness,RateOfPheromoneDecay,UninformedSearchVariation,ProbabilityOfSwitchingToSearching
182,182.0,1.0,0.879868652764,5.0,3.65305934769,2.57011078487,0.0,0.0,9.25110261954,11.9906897211,0.957071757124
610,610.0,1.0,0.508157842411,5.0,12.1387461889,19.2622731365,0.0,0.0,0.383000244646,11.9261884434,0.993237006576
1024,1024.0,1.0,0.72762024881,5.0,1.44450032821,18.2549726356,0.0,0.0,6.18845457334,0.859612910918,0.898710026835
213,213.0,1.0,0.619048943375,5.0,0.946994336301,18.0563158378,0.000260416666667,0.000260416666667,10.0,11.9692569783,0.947104864147
354,354.0,1.0,0.869498373147,4.10355209668,18.359431991,1.56593160371,0.000260416666667,0.000260416666667,9.98285578896,0.718718410906,0.97918178759
91,91.0,1.0,0.973083795894,4.99999999112,0.560170973367,17.1645713612,0.000390625,0.000390625,9.99999999994,11.6516621477,0.99437738748
906,906.0,1.0,0.875557433979,4.75857980928,17.5910220172,15.7367978167,0.000390625,0.000390625,10.0,12.5588745312,0.996121680007
529,529.0,1.0,0.865530376552,5.0,19.5420811336,2.98902748822,0.000390625,0.000390625,10.0,1.59897606588,0.917210311599
1536,1536.0,1.0,0.918805792702,4.99999999923,11.1021901953,19.9257597678,0.000390625,0.000390625,8.89312411901,5.62134187283,0.996236864026
280,280.0,1.0,0.842472982217,0.617175875818,16.8775568416,2.03954469807,0.000520833333333,0.000520833333333,10.0,11.1526468955,0.865736910408
2740,2740.0,1.0,0.842798668939,4.99963240986,16.2906473593,1.74210203582,0.000520833333333,0.000520833333333,10.0,12.173292806,0.680586676424
2795,2795.0,1.0,0.987288302253,4.99999538462,11.1890614379,4.45635892266,0.000520833333333,0.000520833333333,9.99603727473,7.19885940192,0.95649338186
448,448.0,1.0,0.857468106817,2.62926556368,16.1917539088,0.127666653438,0.000651041666667,0.000651041666667,4.32258620818,0.565445965445,0.978347833563
208,208.0,1.0,0.937978344786,5.0,15.3806392414,0.501757303136,0.000651041666667,0.000651041666667,6.66688143306,10.9538225488,0.94351309013
952,952.0,1.0,0.906401166419,3.02981804917,16.4239348712,19.2476252665,0.000651041666667,0.000651041666667,8.05868980857,11.0366444268,0.956030481159
744,744.0,1.0,0.657406752436,4.99999999999,18.0605820188,2.67504030435,0.00078125,0.00078125,10.0,0.454453747195,0.948275072235
428,428.0,1.0,0.477353688097,4.97853785101,19.5714283836,0.353130186425,0.00078125,0.00078125,10.0,11.7425279065,0.84215814246
345,345.0,1.0,0.471013472627,0.0816823414839,19.1186934058,19.3306630272,0.000911458333333,0.000911458333333,10.0,1.12198204323,0.919735384705
340,340.0,1.0,0.949400900979,3.23565098979,5.24940030861,3.42310759322,0.000911458333333,0.000911458333333,10.0,11.610386947,0.929899342431
173,173.0,1.0,0.843672841973,1.11488301592,19.8873350722,15.105275542,0.000911458333333,0.000911458333333,5.70595940179,1.37372969402,0.984652667196
269,269.0,1.0,0.804520142397,5.0,19.8048323662,19.6433977846,0.00104166666667,0.00104166666667,7.52462673449,5.77995194083,0.980075987173
849,849.0,1.0,0.981013405687,2.58270798103,18.2809416489,2.78030221925,0.001171875,0.001171875,8.22221878547,11.5503745714,0.927792985528
599,599.0,1.0,0.8011462919,4.99999999724,19.8513830527,18.8263149541,0.001171875,0.001171875,4.39531462732,1.04923966041,0.971073398455
2330,2330.0,1.0,0.537064459931,4.61950718819,16.1836834792,19.2336682552,0.001171875,0.001171875,10.0,9.50372466857,0.868221707116
662,662.0,1.0,0.686089963106,0.702296877181,4.33547882809,19.4485315949,0.001171875,0.001171875,10.0,11.7827028639,0.928182354918
1777,1777.0,1.0,0.649234283469,3.38829223892,9.52827970857,12.6624847155,0.001171875,0.001171875,9.99912078273,5.54638973182,0.497904303094
494,494.0,1.0,0.771877016391,4.65855776561,0.0226946282914,19.666172207,0.001171875,0.001171875,9.97362797537,12.4175668676,0.956463699
62,62.0,1.0,0.385757682655,4.95109503414,0.0781736243092,1.82147670569,0.00130208333333,0.00130208333333,10.0,8.45863236706,0.820785356595
352,352.0,1.0,0.99539935042,5.0,17.6466471428,19.8966918264,0.00130208333333,0.00130208333333,10.0,10.5043585856,0.909795128989
92,92.0,1.0,0.771612293314,5.0,15.7262109271,1.00836750643,0.00130208333333,0.00130208333333,10.0,0.308619824381,0.799325139841
1366,1366.0,1.0,0.706066809188,4.99901466626,0.365541165206,16.2527574837,0.00143229166667,0.00143229166667,9.99979222595,9.24151528913,0.661109394989
688,688.0,1.0,0.848917432634,4.98512245408,17.1899738086,19.5814144829,0.00143229166667,0.00143229166667,9.99999999999,11.9349078399,0.963147343399
189,189.0,1.0,0.305484249229,5.0,19.1387212736,19.5682804641,0.00143229166667,0.00143229166667,9.99999999741,11.7804061217,0.969282423341
2378,2378.0,1.0,0.377469498695,3.84600095652,2.74247549089,9.73929759823,0.00143229166667,0.00143229166667,9.94665146025,12.4698372211,0.810265913803
472,472.0,1.0,0.692308273329,5.0,0.402222695221,17.6914053139,0.0015625,0.0015625,3.17453156838,0.348155419677,0.804534872061
963,963.0,1.0,0.702851635539,5.0,1.65006918138,19.7688221879,0.0015625,0.0015625,9.74149552,0.13049661117,0.911944161973
1932,1932.0,1.0,0.524273100118,5.0,13.167598878,16.0823220159,0.0015625,0.0015625,9.99999999319,6.60080597549,0.550577688797
418,418.0,1.0,0.368538594611,5.0,17.9190039782,19.3660823432,0.0015625,0.0015625,9.99999999998,12.5236099312,0.965678031894
152,152.0,1.0,0.545671387896,5.0,0.873841202423,1.85201478548,0.0015625,0.0015625,10.0,12.4101343194,0.973657788902
624,624.0,1.0,0.672717831403,4.33155216369,19.5698377524,4.14372227363,0.0015625,0.0015625,10.0,12.0550832976,0.830609238714
1177,1177.0,1.0,0.998176338557,3.32836644108,14.0210966678,0.909465638137,0.0015625,0.0015625,9.09830235152,6.21990915085,0.768654631605
203,203.0,1.0,0.590011894295,1.24138784145,0.691050514111,17.6704135464,0.00169270833333,0.00169270833333,4.58457219277,11.9585203993,0.743031292811
699,699.0,1.0,0.886984858987,4.99999926629,19.9205336509,0.125765589754,0.00169270833333,0.00169270833333,2.71213599564,11.561174957,0.986014209019
411,411.0,1.0,0.673406568944,5.0,19.9391517632,18.4421684367,0.00169270833333,0.00169270833333,10.0,0.230693661544,0.88247783626
118,118.0,1.0,0.660046189137,5.0,2.05148498678,0.3161405489,0.00169270833333,0.00169270833333,10.0,10.5489968127,0.991991382879
893,893.0,1.0,0.800463657592,5.0,1.332954526,1.55017958577,0.00182291666667,0.00182291666667,8.58502737723,1.13195282887,0.938926179601
1383,1383.0,1.0,0.650819525011,5.0,1.93731642822,13.8691916315,0.00182291666667,0.00182291666667,9.99982042313,1.97830216629,0.922136930533
485,485.0,1.0,0.659954696494,4.7677240996,2.95970096046,19.1230891676,0.00182291666667,0.00182291666667,5.61338420979,0.619959227787,0.977309120183
995,995.0,1.0,0.804647436137,2.79432775935,16.8862979205,18.2235765806,0.00182291666667,0.00182291666667,6.41266262639,1.62807511293,0.927125170143
878,878.0,1.0,0.745472257046,5.0,3.25463815597,18.7767344931,0.00182291666667,0.00182291666667,10.0,4.77642092076,0.994853026056
194,194.0,1.0,0.589501690072,3.56382307069,0.550433399162,18.8738131553,0.00182291666667,0.00182291666667,10.0,11.6677077899,0.898997452409
750,750.0,1.0,0.634560069096,4.99653455504,1.50356106307,12.2697235487,0.001953125,0.001953125,10.0,1.77743401709,0.979548625075
967,967.0,1.0,0.482818930425,4.91380844059,0.949684141984,19.8432864528,0.001953125,0.001953125,10.0,11.2282663896,0.992917311952
