,trialId,foodDist,ProbabilityOfReturningToNest,RateOfInformedSearchDecay,RateOfLayingPheromone,RateOfSiteFidelity,RateOfPheromoneDecay,UninformedSearchVariation,fitnessScore,fitness,ProbabilityOfSwitchingToSearching
784,784,2,7.70E-11,4.89628862,18.84682614,0.542284492,10,0.137262682,0.600130208,0.600130208,0.003781306
2899,2899,2,6.30E-07,4.999999463,10.96849784,18.08282863,10,10.01110138,0.600260417,0.600260417,0.649062011
1451,1451,2,0.000189832,4.999744997,4.987655873,18.74397214,10,11.76699568,0.600260417,0.600260417,0.077070038
370,370,2,1.63E-06,4.999999997,10.12150196,18.30309458,9.999998681,9.826111741,0.600520833,0.600520833,0.141438771
2708,2708,2,0.000666563,4.999999975,18.15994804,18.56264597,3.073853309,8.565102341,0.601041667,0.601041667,0.897027304
689,689,2,1.13E-13,4.849884842,1.036700718,17.96562536,7.117097021,12.34372767,0.601432292,0.601432292,0.00914638
1182,1182,2,4.90E-08,4.999982248,13.42568256,14.49826217,10,9.289300527,0.6015625,0.6015625,0.118887421
173,173,2,1.01E-11,5,0.951689902,0.560895253,10,12.53882489,0.601692708,0.601692708,0.005181672
112,112,2,0.005969732,5,0.50893518,0.275242099,9.629735117,10.73187366,0.602083333,0.602083333,0.041119823
1050,1050,2,1.44E-06,5,19.51648819,11.87783367,9.999769671,10.21892485,0.602213542,0.602213542,0.086671783
1157,1157,2,2.76E-08,4.999999998,19.33911062,7.048006729,9.913638018,11.08659464,0.602734375,0.602734375,0.698738225
2698,2698,2,0.004446523,4.999940281,19.29929678,4.042400464,9.995723437,7.460126883,0.602734375,0.602734375,0.557667877
1741,1741,2,2.40E-11,4.999971481,12.88658352,8.590868987,8.702324113,9.872393136,0.602994792,0.602994792,0.582535021
2719,2719,2,0.000655506,5,15.71477123,10.91015315,10,9.051049666,0.603125,0.603125,0.091821457
994,994,2,0.007413541,1.581492209,0.288021177,18.55890582,9.919790354,7.101399988,0.603255208,0.603255208,0.065120571
259,259,2,0.00317459,5,19.6015557,19.56329261,8.741042972,0.109347154,0.603645833,0.603645833,0.732635077
182,182,2,0.004104848,3.965174874,0.952542311,17.05399096,10,12.04762685,0.603776042,0.603776042,0.937302308
1610,1610,2,9.00E-12,5,8.703887932,6.998836454,10,9.474561279,0.604036458,0.604036458,0.476902498
491,491,2,0.004945369,5,19.09066137,2.526961246,10,7.154987139,0.604166667,0.604166667,0.86426886
2775,2775,2,3.25E-07,5,9.793515145,15.36263104,9.999999924,9.580123893,0.604166667,0.604166667,0.378879484
1417,1417,2,1.44E-11,5,12.01601686,1.953453553,9.999999517,1.448475099,0.604296875,0.604296875,0.016129282
15,15,2,2.04E-13,5,14.75296974,7.517015934,9.999738956,10.38844845,0.604296875,0.604296875,0.249759197
2115,2115,2,7.61E-13,5,14.07881665,17.49657636,9.999560528,8.159325391,0.604817708,0.604817708,0.241645544
2883,2883,2,1.47E-11,4.99998796,14.41818092,15.79651176,9.895252676,8.979902604,0.605598958,0.605598958,0.753627741
950,950,2,0.008360095,4.750847182,1.811008395,19.80165561,10,0.728403116,0.605859375,0.605859375,0.178385568
351,351,2,9.40E-07,4.999095183,14.40198823,6.075578367,10,1.400800939,0.605989583,0.605989583,0.031199244
1800,1800,2,3.96E-09,5,8.140524704,5.82468437,9.976938057,11.59197617,0.606119792,0.606119792,0.375940467
2331,2331,2,2.61E-07,4.996979381,15.79976946,5.725044065,9.132427799,10.48809034,0.606640625,0.606640625,0.686892706
1624,1624,2,1.75E-07,5,14.07789407,10.26445078,9.999999999,8.892233124,0.606640625,0.606640625,0.752049296
322,322,2,6.29E-08,2.141090986,14.4643707,1.593940581,10,1.526412801,0.607421875,0.607421875,0.008708869
1311,1311,2,8.17E-14,0.034817657,1.552276553,19.75978576,9.999994895,2.741321895,0.607552083,0.607552083,0.91710609
2016,2016,2,1.68E-05,0.904220128,18.32058498,13.77578229,10,7.935928637,0.6078125,0.6078125,0.961887944
2692,2692,2,8.47E-09,4.99999921,15.13101427,8.737234579,9.999999942,10.38994197,0.607942708,0.607942708,0.085884494
411,411,2,0.007476815,4.999999999,2.045304742,16.54515526,10,4.315347511,0.608203125,0.608203125,0.275139541
2928,2928,2,0.000134907,4.99999998,12.38114632,19.96748633,10,7.649828113,0.608333333,0.608333333,0.313587635
1628,1628,2,0.006106299,5,11.82280294,7.207440672,9.9999672,1.696213612,0.608463542,0.608463542,0.997613397
479,479,2,0.010124751,5,0.673434475,1.547552535,10,0.288307972,0.608723958,0.608723958,0.058757576
443,443,2,3.70E-10,5,4.551570651,19.73818683,10,11.48790229,0.608854167,0.608854167,0.980399484
607,607,2,7.19E-09,3.421342867,1.088314556,17.80227019,10,12.43075856,0.608984375,0.608984375,0.011080843
1992,1992,2,8.92E-13,4.999421317,5.919274546,7.218179912,9.999998383,9.534807018,0.609505208,0.609505208,0.772362024
2522,2522,2,0.002576247,4.999802598,6.500354421,18.15964891,9.575939074,5.55257271,0.609505208,0.609505208,0.766537665
2303,2303,2,2.69E-07,4.999999998,4.653093649,14.09069618,9.997666859,11.26420434,0.609895833,0.609895833,0.457768453
13,13,2,5.44E-05,5,12.46743202,13.11664343,9.799298029,7.989759515,0.610026042,0.610026042,0.533966303
1437,1437,2,2.49E-05,4.928755719,17.84128816,9.908336082,8.901741083,8.024171748,0.610026042,0.610026042,0.823718303
1065,1065,2,0.000214816,4.999999998,8.083926722,19.08103289,9.999996817,9.340669138,0.610026042,0.610026042,0.763965888
1710,1710,2,3.29E-06,4.997581477,3.494586207,14.80549878,10,12.44589747,0.61015625,0.61015625,0.099575583
1868,1868,2,2.26E-06,4.99666124,11.77182032,19.63515496,9.999761235,8.436747295,0.61015625,0.61015625,0.898403671
1536,1536,2,1.32E-11,1.981339862,15.7945219,19.96532588,6.759226631,8.604209256,0.610286458,0.610286458,0.148974859
841,841,2,3.08E-06,5,19.94068763,5.768054892,9.444324982,10.04621876,0.610416667,0.610416667,0.988288613
552,552,2,2.22E-14,5,1.810190458,4.484890732,9.674709282,12.12983581,0.610416667,0.610416667,0.016185395
729,729,2,4.00E-14,5,18.34825281,17.70741116,4.155432399,9.505879353,0.610546875,0.610546875,0.95940894
1113,1113,2,4.07E-12,4.872788146,6.284272239,9.508240856,10,9.665889219,0.610807292,0.610807292,0.347514984
535,535,2,1.91E-14,5,19.05203119,5.084266917,10,12.38342004,0.6109375,0.6109375,0.981327583
1328,1328,2,4.45E-08,4.985867246,11.73787596,19.19876718,10,8.697180453,0.611197917,0.611197917,0.63940019
1212,1212,2,4.20E-05,5,12.97215081,7.822782523,9.259859672,9.687442647,0.611328125,0.611328125,0.25114177
401,401,2,4.67E-06,2.170640542,4.522072571,1.545076273,2.861214149,12.3970095,0.611588542,0.611588542,0.011992979
2831,2831,2,5.89E-06,5,14.56053863,19.71840116,10,7.594611327,0.611979167,0.611979167,0.765253205
2650,2650,2,3.27E-07,4.980814139,14.71615785,17.91571117,9.999710805,8.280946074,0.611979167,0.611979167,0.361993172
1629,1629,2,0.000863595,4.752114244,19.44756847,11.43992065,9.999935609,6.991165821,0.612760417,0.612760417,0.420251343
199,199,2,2.47E-10,5,12.89526978,6.706751927,10,9.112682984,0.61328125,0.61328125,0.826645336
2688,2688,2,0.003798075,3.089132586,5.672518383,19.77016852,9.997969036,4.292165101,0.613541667,0.613541667,0.227946875
2501,2501,2,4.19E-10,4.999999998,5.141082842,13.44186422,9.999833703,11.2234238,0.613541667,0.613541667,0.111824446
2324,2324,2,5.38E-14,0.03949703,1.469023654,19.81983249,9.999999962,2.26315166,0.614713542,0.614713542,0.868090651
827,827,2,2.91E-13,5,16.63611097,19.82682034,9.999999017,7.347881853,0.61484375,0.61484375,0.455213803
2371,2371,2,1.66E-14,5,15.13145122,18.97120461,10,8.578827807,0.61484375,0.61484375,0.866511007
2306,2306,2,3.14E-09,4.999999976,17.14885732,19.43350886,7.886980858,8.156469721,0.614973958,0.614973958,0.288312871
1528,1528,2,6.47E-10,4.813725541,11.21709714,14.96184862,10,9.590995038,0.615104167,0.615104167,0.197578898
165,165,2,8.69E-12,5,17.34036355,2.63999736,9.996153092,12.55908762,0.615104167,0.615104167,0.021265843
1810,1810,2,1.82E-13,4.999999879,3.473903275,14.49167798,9.995178402,12.47049309,0.615104167,0.615104167,0.750918188
