,trialId,foodDist,ProbabilityOfReturningToNest,RateOfInformedSearchDecay,RateOfLayingPheromone,RateOfSiteFidelity,RateOfPheromoneDecay,UninformedSearchVariation,fitnessScore,fitness,ProbabilityOfSwitchingToSearching
2232,2232,2,6.76E-14,0.512399462,1.788567949,19.60324796,9.999999987,2.650202238,0.767578125,0.767578125,0.869401565
1400,1400,2,5.34E-14,0.99613345,1.632858268,19.7374206,9.999999977,2.540629068,0.767578125,0.767578125,0.88116666
2192,2192,2,6.14E-14,0.416614387,1.680696405,19.69501634,9.999999978,2.599585173,0.767708333,0.767708333,0.879109721
1793,1793,2,6.03E-14,0.387138274,1.645097648,19.72086422,9.999999974,2.573308768,0.767708333,0.767708333,0.880801396
2137,2137,2,6.15E-14,0.401315471,1.657273315,19.7689041,9.999999984,2.646706809,0.767838542,0.767838542,0.902150161
2696,2696,2,6.19E-14,0.418201832,1.692462467,19.68859016,9.999999979,2.604356539,0.767838542,0.767838542,0.878209217
2871,2871,2,5.71E-14,0.334444083,1.607066456,19.75206503,9.999999966,2.551544677,0.767838542,0.767838542,0.88178593
2287,2287,2,6.06E-14,0.397779874,1.653245081,19.74693985,9.99999998,2.617595205,0.767838542,0.767838542,0.892739219
2293,2293,2,5.17E-14,0.316350112,1.476406862,19.82513612,9.999999936,2.487748865,0.76796875,0.76796875,0.889728413
1525,1525,2,5.95E-14,0.385396036,1.647827353,19.71804698,9.999999974,2.579048841,0.76796875,0.76796875,0.880340572
1427,1427,2,5.96E-14,0.414706259,1.636850116,19.71178187,9.999999972,2.595186817,0.76796875,0.76796875,0.88111593
2308,2308,2,6.76E-14,0.517057509,1.788512775,19.60325692,9.999999987,2.650188171,0.76796875,0.76796875,0.869400352
1307,1307,2,5.95E-14,0.382521255,1.648711575,19.71797853,9.999999974,2.57936013,0.768098958,0.768098958,0.880300513
2863,2863,2,6.46E-14,0.466833912,1.765349148,19.60237767,9.999999987,2.662626136,0.768098958,0.768098958,0.870041542
2254,2254,2,3.41E-14,0.406724559,1.796134726,19.414883,10,2.170886057,0.768098958,0.768098958,0.75048232
2870,2870,2,8.76E-14,0.722291516,2.091894627,19.35304243,9.999999997,2.809250883,0.768229167,0.768229167,0.844804342
2410,2410,2,2.20E-14,0.423448381,1.912580692,19.17613169,10,1.849609043,0.768359375,0.768359375,0.648384955
2177,2177,2,2.28E-14,0.402271761,1.793157114,5.567988161,10,2.257989049,0.768359375,0.768359375,0.485854358
