,trialId,fitnessScore,fitness,RateOfLayingPheromone,ProbabilityOfSwitchingToSearching,ProbabilityOfReturningToNest,RateOfInformedSearchDecay,RateOfSiteFidelity,RateOfPheromoneDecay,UninformedSearchVariation
167,167.0,0.09140625,0.09140625,19.0835206753,0.000246300389851,0.0,3.21858702204,2.55421583127,0.142327675607,0.440712188435
1706,1706.0,0.0940104166667,0.0940104166667,14.6885045791,0.000832541090815,0.0,3.02125591804,14.459033301,3.84914804291,9.98290192907
115,115.0,0.107291666667,0.107291666667,18.9727591558,0.000978944782076,0.0,4.33232901916,19.0095612214,9.05344882604,0.0289985107138
1631,1631.0,0.14140625,0.14140625,12.4728215619,0.00150566488679,0.0,2.92086807576,11.9797510838,5.02186899952,5.47511152732
2028,2028.0,0.159505208333,0.159505208333,5.7131972326,0.00134426182844,0.0,2.46722170822,13.0658479734,4.04649635396,8.43290300751
453,453.0,0.174348958333,0.174348958333,16.8788436818,0.00220672340172,0.0,4.60795523957,19.9675442796,1.27007646941,0.380610986407
2524,2524.0,0.186979166667,0.186979166667,3.31591939339,0.00100172099091,0.0,4.67033484733,16.6417875374,1.96468230508,6.32192355197
981,981.0,0.206119791667,0.206119791667,2.45197727413,0.000351779272047,0.0,3.87038395065,1.89655904756,9.65883270179,1.01405463893
656,656.0,0.215755208333,0.215755208333,18.9005362674,0.00357075122472,0.0,0.00253385182873,16.3661940266,1.54400316368,0.477901712616
501,501.0,0.223177083333,0.223177083333,19.745787342,0.00344701529028,0.0,4.80336602159,17.2327213461,4.12725731071,12.107863627
2828,2828.0,0.224609375,0.224609375,8.39722319618,0.00347946633522,0.0,4.17501815251,16.6318097442,5.04372814836,0.331326568147
492,492.0,0.241927083333,0.241927083333,14.3327106436,0.00212971133153,0.0,0.23422316012,4.15260509457,8.96528331282,12.4102223029
388,388.0,0.242317708333,0.242317708333,19.8738437044,0.00509341001422,0.0,4.68414795533,19.5671912427,2.95838953107,0.766853949783
824,824.0,0.248697916667,0.248697916667,18.8792469876,0.00528159468581,0.0,4.08463474074,19.3870196654,0.109490270624,0.13851141621
37,37.0,0.25234375,0.25234375,18.6069703538,0.00482593309335,0.0,0.626485986983,19.7129704669,0.684118920516,4.98828651031
1324,1324.0,0.254296875,0.254296875,4.18235148557,0.00244194178037,0.0,1.82759655794,16.4861060692,9.42187983193,1.07884533796
780,780.0,0.268880208333,0.268880208333,19.7968409173,0.00637089856661,0.0,0.416037086786,18.8425169647,0.478083673527,11.5073879489
684,684.0,0.269401041667,0.269401041667,1.22240347346,0.000374424281933,0.0,4.92150038245,5.35535758535,0.936363337841,0.64487296854
387,387.0,0.271614583333,0.271614583333,16.0831731277,0.00616845496748,0.0,4.71732059493,19.9025823597,9.42811139234,0.573922409993
1381,1381.0,0.284895833333,0.284895833333,17.3962006407,0.00612478081704,0.0,2.91347641039,8.10920364135,1.01427302438,6.02664535371
