,trialId,RateOfPheromoneDecay,foodDist,UninformedSearchVariation,RateOfLayingPheromone,RateOfInformedSearchDecay,ProbabilityOfSwitchingToSearching,RateOfSiteFidelity,fitnessScore,fitness,ProbabilityOfReturningToNest
1386,1386.0,10.0,0.0,3.57835070347,7.51809675296,5.0,1.48926766587e-05,16.1231852122,0.00208333333333,0.00208333333333,4.16545542501e-09
919,919.0,10.0,0.0,12.5482607535,18.5373434209,4.83668345259,0.950114319504,18.8861984444,0.004296875,0.004296875,0.957942573268
2707,2707.0,9.99969220039,0.0,0.0433687482719,0.190543481542,4.13430862688,0.989836556735,1.28899420146,0.004296875,0.004296875,0.935980746177
690,690.0,9.99948735597,0.0,11.7749283459,0.313261112709,4.92842600109,0.862374460211,19.5011321756,0.00494791666667,0.00494791666667,0.932417366041
890,890.0,8.48563495425,0.0,8.89120422622,18.3296877986,1.05077949003,0.862488430909,19.9712191413,0.00494791666667,0.00494791666667,0.938728287034
663,663.0,10.0,0.0,6.44651133481,19.1221493992,4.99999999919,0.872299354706,0.767804901255,0.005078125,0.005078125,0.956713799377
68,68.0,9.8091127115,0.0,3.94988539535,0.634057846468,4.67806174646,0.958750372412,16.7225544022,0.005078125,0.005078125,0.962009519517
374,374.0,10.0,0.0,11.3556217421,3.10560418301,5.0,0.992852159197,3.97628986414,0.00520833333333,0.00520833333333,0.824572203485
904,904.0,9.9999998249,0.0,11.8133708149,0.159541576312,5.0,0.929652439752,0.630148519764,0.00546875,0.00546875,0.760924146067
2855,2855.0,9.97816956028,0.0,8.10439192055,8.33497596512,4.98962788667,0.89250322994,16.7129595458,0.00559895833333,0.00559895833333,0.841097876558
1028,1028.0,9.99999999948,0.0,6.3249098809,4.13796218468,4.99971804286,0.864576702285,19.1056965962,0.00559895833333,0.00559895833333,0.872633131632
949,949.0,9.99999999999,0.0,12.4367551373,1.07875989763,4.09486962897,0.785267430196,0.0703076564465,0.00572916666667,0.00572916666667,0.962987142471
175,175.0,10.0,0.0,2.23114366893,2.52441335946,5.0,0.958998541294,17.0646083845,0.005859375,0.005859375,0.745710345874
424,424.0,9.99637610332,0.0,11.9834090436,0.36344922119,4.99895848473,0.96988106804,19.0361142882,0.005859375,0.005859375,0.74835314806
553,553.0,7.94216460575,0.0,11.2283949585,19.2321876158,3.93171376367,0.90267408557,8.75935066922,0.00598958333333,0.00598958333333,0.805788009651
36,36.0,8.67963649006,0.0,12.0038634488,18.0563771509,4.44858170386,0.877382249948,3.81010667885,0.00598958333333,0.00598958333333,0.892468736954
315,315.0,10.0,0.0,0.451870951343,19.5193469602,4.97110812966,0.997186992645,0.556641543604,0.00598958333333,0.00598958333333,0.792636457603
886,886.0,9.99971020775,0.0,3.64970150542,18.3549364304,5.0,0.968430979696,0.72860394119,0.00611979166667,0.00611979166667,0.754192889841
246,246.0,10.0,0.0,0.924405954618,1.5989816386,5.0,0.987110360168,17.1362081706,0.00611979166667,0.00611979166667,0.85955776981
642,642.0,9.91866926912,0.0,0.439010850489,0.909123130338,1.60595466211,0.80316038988,0.849683060127,0.00625,0.00625,0.966769561114
2720,2720.0,9.9999999624,0.0,11.7513675628,5.63301722818,5.0,0.732340943256,12.2314142932,0.006640625,0.006640625,0.887779363156
1227,1227.0,9.99999999971,0.0,6.13289727589,7.06627324281,4.9999993182,0.845957205314,4.45448367068,0.006640625,0.006640625,0.787474755203
327,327.0,10.0,0.0,11.5955017415,18.6094572256,4.42344578819,0.96733321009,19.3790510545,0.006640625,0.006640625,0.765019511947
2594,2594.0,10.0,0.0,1.23547967303,1.16469614536,4.99999397803,0.798316882468,12.0501564693,0.00677083333333,0.00677083333333,0.80041085399
272,272.0,8.25056748814,0.0,12.5512276453,2.77535471045,5.0,0.762568012956,17.5779054495,0.00677083333333,0.00677083333333,0.791204002587
220,220.0,9.15291302677,0.0,1.00968192816,19.6808123416,4.99999997681,0.973176042022,0.428518610086,0.00677083333333,0.00677083333333,0.785762419041
62,62.0,10.0,0.0,11.5751177266,19.8722358173,4.99999999892,0.842270299649,19.9747837402,0.00690104166667,0.00690104166667,0.747850422999
243,243.0,8.43291707264,0.0,1.69259909594,8.73834063909,5.0,0.991336278329,19.6154026599,0.00690104166667,0.00690104166667,0.809186641961
710,710.0,9.99942862159,0.0,0.447344572475,4.52355959109,4.98799678456,0.915380001095,2.55875753449,0.00690104166667,0.00690104166667,0.765488434346
868,868.0,9.89800137,0.0,12.3445236124,18.9809946266,1.30751176309,0.946493423135,17.4438210657,0.00703125,0.00703125,0.881332598846
566,566.0,10.0,0.0,12.4551789228,19.6862785603,4.97646069737,0.93942765843,19.0087339463,0.00703125,0.00703125,0.584119556032
90,90.0,10.0,0.0,0.00311441147621,2.89485984896,5.0,0.73286821761,19.5655880683,0.00729166666667,0.00729166666667,0.821028068794
629,629.0,9.71312267393,0.0,10.9623177253,19.1718627608,1.69029982015,0.958727620497,18.3281637745,0.00729166666667,0.00729166666667,0.758434351232
