,trialId,fitnessScore,fitness,RateOfLayingPheromone,ProbabilityOfSwitchingToSearching,ProbabilityOfReturningToNest,RateOfInformedSearchDecay,RateOfSiteFidelity,RateOfPheromoneDecay,UninformedSearchVariation
628,628.0,0.0046875,0.0046875,17.1086084522,2.77917176876e-05,0.0,0.320307343774,17.2633688619,9.95816415782,11.3380580356
5878,5878.0,0.008203125,0.008203125,18.437569764,6.25756783634e-05,0.0,2.71695399764,19.511057112,8.92293020305,8.4735070297
1645,1645.0,0.036328125,0.036328125,12.1933246004,0.000267541224498,0.0,3.66744316387,19.0423640086,5.86812636218,8.90826359441
3560,3560.0,0.0845052083333,0.0845052083333,10.006323851,0.000643216391495,0.0,2.78864409376,9.13214811338,2.78635044717,5.74414809694
968,968.0,0.0984375,0.0984375,18.914460772,0.00143384636502,0.0,0.567412308168,19.4218747382,1.19322660598,10.794903164
402,402.0,0.124739583333,0.124739583333,19.7637498121,0.00015713199668,0.0,0.123484666888,2.8410955554,0.0901674978611,12.0247569573
1950,1950.0,0.125,0.125,17.8519954408,0.00225899233985,0.0,0.969862882764,14.1737598769,9.97269179464,12.0602707465
9395,9395.0,0.138020833333,0.138020833333,14.1722755798,0.00329068460595,0.0,0.95920619509,19.4532739135,7.84861432333,12.017883679
9530,9530.0,0.142317708333,0.142317708333,16.7088480212,0.00256092055653,0.0,2.91099119483,17.1668324384,8.31979474836,6.50825916578
463,463.0,0.148307291667,0.148307291667,19.9007738993,0.00278537729542,0.0,0.477549698538,19.9531520966,9.909244343,1.09369796622
649,649.0,0.150390625,0.150390625,15.5636415615,0.00347503727203,0.0,2.58754729373,18.2494290514,0.140052456887,0.0780820430027
1540,1540.0,0.153645833333,0.153645833333,19.4005301906,0.00350393935974,0.0,3.27575447335,14.7491731012,5.80748751381,0.390309502979
175,175.0,0.159505208333,0.159505208333,17.2602593438,0.0034942194371,0.0,0.288510586929,17.5986547579,0.45103806741,0.397480665784
