,score,found,params,dist
210,0.8203125,210,0,0
211,0.86328125,221,0,0
212,0.859375,220,0,0
213,0.87890625,225,0,0
214,0.83984375,215,0,0
215,0.8203125,210,0,0
216,0.7890625,202,0,0
217,0.83203125,213,0,0
218,0.8515625,218,0,0
219,0.87109375,223,0,0
220,0.859375,220,0,0
221,0.8359375,214,0,0
222,0.828125,212,0,0
223,0.83203125,213,0,0
224,0.84765625,217,0,0
225,0.84765625,217,0,0
226,0.83984375,215,0,0
227,0.8359375,214,0,0
228,0.84375,216,0,0
229,0.84765625,217,0,0
230,0.85546875,219,0,0
231,0.84375,216,0,0
232,0.76953125,197,0,0
233,0.83203125,213,0,0
234,0.84765625,217,0,0
235,0.859375,220,0,0
236,0.875,224,0,0
237,0.85546875,219,0,0
238,0.8203125,210,0,0
239,0.859375,220,0,0
240,0.18359375,47,0,1
241,0.40625,104,0,1
242,0.375,96,0,1
243,0.40625,104,0,1
244,0.2578125,66,0,1
245,0.55859375,143,0,1
246,0.3984375,102,0,1
247,0.37890625,97,0,1
248,0.3125,80,0,1
249,0.3046875,78,0,1
250,0.21484375,55,0,1
251,0.39453125,101,0,1
252,0.3359375,86,0,1
253,0.359375,92,0,1
254,0.375,96,0,1
255,0.50390625,129,0,1
256,0.21484375,55,0,1
257,0.36328125,93,0,1
258,0.26171875,67,0,1
259,0.22265625,57,0,1
260,0.234375,60,0,1
261,0.3515625,90,0,1
262,0.390625,100,0,1
263,0.44921875,115,0,1
264,0.359375,92,0,1
265,0.4609375,118,0,1
266,0.33984375,87,0,1
267,0.546875,140,0,1
268,0.26953125,69,0,1
269,0.453125,116,0,1
180,0.65234375,167,0,2
181,0.6796875,174,0,2
182,0.609375,156,0,2
183,0.6328125,162,0,2
184,0.671875,172,0,2
185,0.6796875,174,0,2
186,0.6328125,162,0,2
187,0.5703125,146,0,2
188,0.7265625,186,0,2
189,0.671875,172,0,2
190,0.60546875,155,0,2
191,0.71875,184,0,2
192,0.625,160,0,2
193,0.609375,156,0,2
194,0.703125,180,0,2
195,0.59765625,153,0,2
196,0.6640625,170,0,2
197,0.62109375,159,0,2
198,0.67578125,173,0,2
199,0.62109375,159,0,2
200,0.609375,156,0,2
201,0.68359375,175,0,2
202,0.640625,164,0,2
203,0.66796875,171,0,2
204,0.671875,172,0,2
205,0.65234375,167,0,2
206,0.67578125,173,0,2
207,0.6015625,154,0,2
208,0.70703125,181,0,2
209,0.62890625,161,0,2
300,0.6328125,162,1,0
301,0.6640625,170,1,0
302,0.640625,164,1,0
303,0.609375,156,1,0
304,0.65234375,167,1,0
305,0.6484375,166,1,0
306,0.62890625,161,1,0
307,0.640625,164,1,0
308,0.65625,168,1,0
309,0.64453125,165,1,0
310,0.61328125,157,1,0
311,0.62109375,159,1,0
312,0.59765625,153,1,0
313,0.671875,172,1,0
314,0.6640625,170,1,0
315,0.6875,176,1,0
316,0.6328125,162,1,0
317,0.6484375,166,1,0
318,0.62109375,159,1,0
319,0.65234375,167,1,0
320,0.625,160,1,0
321,0.6640625,170,1,0
322,0.625,160,1,0
323,0.65234375,167,1,0
324,0.61328125,157,1,0
325,0.625,160,1,0
326,0.6171875,158,1,0
327,0.625,160,1,0
328,0.64453125,165,1,0
329,0.65625,168,1,0
270,0.69921875,179,1,1
271,0.421875,108,1,1
272,0.76953125,197,1,1
273,0.69140625,177,1,1
274,0.515625,132,1,1
275,0.62109375,159,1,1
276,0.78125,200,1,1
277,0.72265625,185,1,1
278,0.6171875,158,1,1
279,0.71484375,183,1,1
280,0.64453125,165,1,1
281,0.72265625,185,1,1
282,0.6640625,170,1,1
283,0.65625,168,1,1
284,0.75,192,1,1
285,0.62109375,159,1,1
286,0.5703125,146,1,1
287,0.67578125,173,1,1
288,0.72265625,185,1,1
289,0.6796875,174,1,1
290,0.73046875,187,1,1
291,0.703125,180,1,1
292,0.78515625,201,1,1
293,0.72265625,185,1,1
294,0.65234375,167,1,1
295,0.6875,176,1,1
296,0.62890625,161,1,1
297,0.734375,188,1,1
298,0.69921875,179,1,1
299,0.57421875,147,1,1
330,0.7578125,194,1,2
331,0.68359375,175,1,2
332,0.6796875,174,1,2
333,0.734375,188,1,2
334,0.67578125,173,1,2
335,0.69140625,177,1,2
336,0.75,192,1,2
337,0.69140625,177,1,2
338,0.72265625,185,1,2
339,0.74609375,191,1,2
340,0.7421875,190,1,2
341,0.68359375,175,1,2
342,0.7109375,182,1,2
343,0.703125,180,1,2
344,0.625,160,1,2
345,0.71875,184,1,2
346,0.62890625,161,1,2
347,0.64453125,165,1,2
348,0.73828125,189,1,2
349,0.6875,176,1,2
350,0.69921875,179,1,2
351,0.68359375,175,1,2
352,0.77734375,199,1,2
353,0.62890625,161,1,2
354,0.765625,196,1,2
355,0.71875,184,1,2
356,0.6953125,178,1,2
357,0.73046875,187,1,2
358,0.76953125,197,1,2
359,0.71875,184,1,2
0,0.8046875,206,2,0
1,0.80859375,207,2,0
2,0.87890625,225,2,0
3,0.8515625,218,2,0
4,0.8671875,222,2,0
5,0.8515625,218,2,0
6,0.81640625,209,2,0
7,0.8046875,206,2,0
8,0.83203125,213,2,0
9,0.859375,220,2,0
10,0.85546875,219,2,0
11,0.828125,212,2,0
12,0.8203125,210,2,0
13,0.86328125,221,2,0
14,0.83984375,215,2,0
15,0.8828125,226,2,0
16,0.8046875,206,2,0
17,0.8046875,206,2,0
18,0.8515625,218,2,0
19,0.828125,212,2,0
20,0.80859375,207,2,0
21,0.81640625,209,2,0
22,0.84375,216,2,0
23,0.86328125,221,2,0
24,0.8359375,214,2,0
25,0.81640625,209,2,0
26,0.859375,220,2,0
27,0.87109375,223,2,0
28,0.85546875,219,2,0
29,0.84765625,217,2,0
30,0.37109375,95,2,1
31,0.61328125,157,2,1
32,0.58203125,149,2,1
33,0.66796875,171,2,1
34,0.5546875,142,2,1
35,0.51953125,133,2,1
36,0.58203125,149,2,1
37,0.1640625,42,2,1
38,0.41796875,107,2,1
39,0.46875,120,2,1
40,0.546875,140,2,1
41,0.4765625,122,2,1
42,0.5703125,146,2,1
43,0.2265625,58,2,1
44,0.30859375,79,2,1
45,0.51171875,131,2,1
46,0.5546875,142,2,1
47,0.55078125,141,2,1
48,0.48828125,125,2,1
49,0.5078125,130,2,1
50,0.63671875,163,2,1
51,0.5859375,150,2,1
52,0.28515625,73,2,1
53,0.375,96,2,1
54,0.5234375,134,2,1
55,0.54296875,139,2,1
56,0.34765625,89,2,1
57,0.43359375,111,2,1
58,0.44140625,113,2,1
59,0.39453125,101,2,1
120,0.71875,184,2,2
121,0.6796875,174,2,2
122,0.65625,168,2,2
123,0.66796875,171,2,2
124,0.62109375,159,2,2
125,0.70703125,181,2,2
126,0.6796875,174,2,2
127,0.65625,168,2,2
128,0.71484375,183,2,2
129,0.7109375,182,2,2
130,0.77734375,199,2,2
131,0.75390625,193,2,2
132,0.734375,188,2,2
133,0.6796875,174,2,2
134,0.7578125,194,2,2
135,0.66015625,169,2,2
136,0.65234375,167,2,2
137,0.6796875,174,2,2
138,0.7421875,190,2,2
139,0.72265625,185,2,2
140,0.7109375,182,2,2
141,0.6640625,170,2,2
142,0.66796875,171,2,2
143,0.734375,188,2,2
144,0.70703125,181,2,2
145,0.6953125,178,2,2
146,0.6953125,178,2,2
147,0.59375,152,2,2
148,0.70703125,181,2,2
149,0.74609375,191,2,2
90,0.84765625,217,T,0
91,0.82421875,211,T,0
92,0.828125,212,T,0
93,0.83203125,213,T,0
94,0.8203125,210,T,0
95,0.8671875,222,T,0
96,0.8125,208,T,0
97,0.828125,212,T,0
98,0.84765625,217,T,0
99,0.8359375,214,T,0
100,0.81640625,209,T,0
101,0.796875,204,T,0
102,0.84765625,217,T,0
103,0.83984375,215,T,0
104,0.79296875,203,T,0
105,0.83984375,215,T,0
106,0.8125,208,T,0
107,0.8671875,222,T,0
108,0.859375,220,T,0
109,0.83203125,213,T,0
110,0.84375,216,T,0
111,0.85546875,219,T,0
112,0.82421875,211,T,0
113,0.8515625,218,T,0
114,0.8203125,210,T,0
115,0.859375,220,T,0
116,0.828125,212,T,0
117,0.8515625,218,T,0
118,0.84765625,217,T,0
119,0.83203125,213,T,0
150,0.59375,152,T,1
151,0.59375,152,T,1
152,0.671875,172,T,1
153,0.640625,164,T,1
154,0.6328125,162,T,1
155,0.6484375,166,T,1
156,0.54296875,139,T,1
157,0.7109375,182,T,1
158,0.58984375,151,T,1
159,0.64453125,165,T,1
160,0.5859375,150,T,1
161,0.56640625,145,T,1
162,0.6796875,174,T,1
163,0.59375,152,T,1
164,0.5078125,130,T,1
165,0.5078125,130,T,1
166,0.6875,176,T,1
167,0.5546875,142,T,1
168,0.59375,152,T,1
169,0.640625,164,T,1
170,0.71875,184,T,1
171,0.55078125,141,T,1
172,0.5390625,138,T,1
173,0.625,160,T,1
174,0.6328125,162,T,1
175,0.52734375,135,T,1
176,0.6328125,162,T,1
177,0.5703125,146,T,1
178,0.6015625,154,T,1
179,0.63671875,163,T,1
60,0.6796875,174,T,2
61,0.7578125,194,T,2
62,0.79296875,203,T,2
63,0.859375,220,T,2
64,0.765625,196,T,2
65,0.828125,212,T,2
66,0.68359375,175,T,2
67,0.71484375,183,T,2
68,0.83984375,215,T,2
69,0.828125,212,T,2
70,0.734375,188,T,2
71,0.6875,176,T,2
72,0.76953125,197,T,2
73,0.71875,184,T,2
74,0.7578125,194,T,2
75,0.6796875,174,T,2
76,0.73828125,189,T,2
77,0.8046875,206,T,2
78,0.734375,188,T,2
79,0.75390625,193,T,2
80,0.6875,176,T,2
81,0.7421875,190,T,2
82,0.703125,180,T,2
83,0.68359375,175,T,2
84,0.6875,176,T,2
85,0.7734375,198,T,2
86,0.71875,184,T,2
87,0.76171875,195,T,2
88,0.703125,180,T,2
89,0.75,192,T,2
