points, score, method, dist
209.0, 0.81640625, ga, 0
216.0, 0.84375, ga, 0
225.0, 0.87890625, ga, 0
217.0, 0.84765625, ga, 0
224.0, 0.875, ga, 0
215.0, 0.83984375, ga, 0
218.0, 0.8515625, ga, 0
224.0, 0.875, ga, 0
206.0, 0.8046875, ga, 0
218.0, 0.8515625, ga, 0
223.0, 0.87109375, ga, 0
211.0, 0.82421875, ga, 0
220.0, 0.859375, ga, 0
209.0, 0.81640625, ga, 0
222.0, 0.8671875, ga, 0
222.0, 0.8671875, ga, 0
218.0, 0.8515625, ga, 0
216.0, 0.84375, ga, 0
218.0, 0.8515625, ga, 0
217.0, 0.84765625, ga, 0
211.0, 0.82421875, ga, 0
208.0, 0.8125, ga, 0
218.0, 0.8515625, ga, 0
217.0, 0.84765625, ga, 0
211.0, 0.82421875, ga, 0
216.0, 0.84375, ga, 0
221.0, 0.86328125, ga, 0
208.0, 0.8125, ga, 0
204.0, 0.796875, ga, 0
217.0, 0.84765625, ga, 0
219.0, 0.85546875, ga, 0
213.0, 0.83203125, ga, 0
209.0, 0.81640625, ga, 0
216.0, 0.84375, ga, 0
219.0, 0.85546875, ga, 0
224.0, 0.875, ga, 0
229.0, 0.89453125, ga, 0
210.0, 0.8203125, ga, 0
219.0, 0.85546875, ga, 0
224.0, 0.875, ga, 0
212.0, 0.828125, ga, 0
226.0, 0.8828125, ga, 0
212.0, 0.828125, ga, 0
215.0, 0.83984375, ga, 0
212.0, 0.828125, ga, 0
205.0, 0.80078125, ga, 0
215.0, 0.83984375, ga, 0
209.0, 0.81640625, ga, 0
218.0, 0.8515625, ga, 0
213.0, 0.83203125, ga, 0
191.0, 0.74609375, ga, 1
158.0, 0.6171875, ga, 1
152.0, 0.59375, ga, 1
121.0, 0.47265625, ga, 1
210.0, 0.8203125, ga, 1
184.0, 0.71875, ga, 1
149.0, 0.58203125, ga, 1
167.0, 0.65234375, ga, 1
199.0, 0.77734375, ga, 1
164.0, 0.640625, ga, 1
198.0, 0.7734375, ga, 1
182.0, 0.7109375, ga, 1
162.0, 0.6328125, ga, 1
195.0, 0.76171875, ga, 1
180.0, 0.703125, ga, 1
176.0, 0.6875, ga, 1
206.0, 0.8046875, ga, 1
166.0, 0.6484375, ga, 1
181.0, 0.70703125, ga, 1
168.0, 0.65625, ga, 1
195.0, 0.76171875, ga, 1
181.0, 0.70703125, ga, 1
163.0, 0.63671875, ga, 1
167.0, 0.65234375, ga, 1
178.0, 0.6953125, ga, 1
159.0, 0.62109375, ga, 1
208.0, 0.8125, ga, 1
171.0, 0.66796875, ga, 1
160.0, 0.625, ga, 1
158.0, 0.6171875, ga, 1
173.0, 0.67578125, ga, 1
186.0, 0.7265625, ga, 1
176.0, 0.6875, ga, 1
142.0, 0.5546875, ga, 1
188.0, 0.734375, ga, 1
159.0, 0.62109375, ga, 1
170.0, 0.6640625, ga, 1
151.0, 0.58984375, ga, 1
160.0, 0.625, ga, 1
164.0, 0.640625, ga, 1
222.0, 0.8671875, ga, 1
178.0, 0.6953125, ga, 1
164.0, 0.640625, ga, 1
165.0, 0.64453125, ga, 1
194.0, 0.7578125, ga, 1
182.0, 0.7109375, ga, 1
156.0, 0.609375, ga, 1
202.0, 0.7890625, ga, 1
187.0, 0.73046875, ga, 1
87.0, 0.33984375, ga, 1
184.0, 0.71875, ga, 2
184.0, 0.71875, ga, 2
177.0, 0.69140625, ga, 2
189.0, 0.73828125, ga, 2
176.0, 0.6875, ga, 2
164.0, 0.640625, ga, 2
162.0, 0.6328125, ga, 2
183.0, 0.71484375, ga, 2
168.0, 0.65625, ga, 2
180.0, 0.703125, ga, 2
197.0, 0.76953125, ga, 2
177.0, 0.69140625, ga, 2
165.0, 0.64453125, ga, 2
198.0, 0.7734375, ga, 2
188.0, 0.734375, ga, 2
183.0, 0.71484375, ga, 2
158.0, 0.6171875, ga, 2
188.0, 0.734375, ga, 2
164.0, 0.640625, ga, 2
159.0, 0.62109375, ga, 2
175.0, 0.68359375, ga, 2
186.0, 0.7265625, ga, 2
189.0, 0.73828125, ga, 2
189.0, 0.73828125, ga, 2
161.0, 0.62890625, ga, 2
188.0, 0.734375, ga, 2
207.0, 0.80859375, ga, 2
176.0, 0.6875, ga, 2
173.0, 0.67578125, ga, 2
195.0, 0.76171875, ga, 2
178.0, 0.6953125, ga, 2
188.0, 0.734375, ga, 2
174.0, 0.6796875, ga, 2
176.0, 0.6875, ga, 2
192.0, 0.75, ga, 2
186.0, 0.7265625, ga, 2
175.0, 0.68359375, ga, 2
191.0, 0.74609375, ga, 2
187.0, 0.73046875, ga, 2
178.0, 0.6953125, ga, 2
170.0, 0.6640625, ga, 2
177.0, 0.69140625, ga, 2
178.0, 0.6953125, ga, 2
169.0, 0.66015625, ga, 2
197.0, 0.76953125, ga, 2
169.0, 0.66015625, ga, 2
135.0, 0.52734375, ga, 2
181.0, 0.70703125, ga, 2
185.0, 0.72265625, ga, 2
176.0, 0.6875, ga, 2
223.0, 0.87109375, ht, 0
220.0, 0.859375, ht, 0
223.0, 0.87109375, ht, 0
225.0, 0.87890625, ht, 0
224.0, 0.875, ht, 0
224.0, 0.875, ht, 0
229.0, 0.89453125, ht, 0
226.0, 0.8828125, ht, 0
221.0, 0.86328125, ht, 0
228.0, 0.890625, ht, 0
229.0, 0.89453125, ht, 0
224.0, 0.875, ht, 0
221.0, 0.86328125, ht, 0
220.0, 0.859375, ht, 0
221.0, 0.86328125, ht, 0
223.0, 0.87109375, ht, 0
219.0, 0.85546875, ht, 0
228.0, 0.890625, ht, 0
226.0, 0.8828125, ht, 0
229.0, 0.89453125, ht, 0
228.0, 0.890625, ht, 0
214.0, 0.8359375, ht, 0
229.0, 0.89453125, ht, 0
223.0, 0.87109375, ht, 0
